"","zip"
"1","00210"
"2","00211"
"3","00212"
"4","00213"
"5","00214"
"6","00215"
"7","00501"
"8","00544"
"9","01001"
"10","01002"
"11","01003"
"12","01004"
"13","01005"
"14","01007"
"15","01008"
"16","01009"
"17","01010"
"18","01011"
"19","01012"
"20","01013"
"21","01014"
"22","01020"
"23","01021"
"24","01022"
"25","01026"
"26","01027"
"27","01028"
"28","01029"
"29","01030"
"30","01031"
"31","01032"
"32","01033"
"33","01034"
"34","01035"
"35","01036"
"36","01037"
"37","01038"
"38","01039"
"39","01040"
"40","01041"
"41","01050"
"42","01053"
"43","01054"
"44","01056"
"45","01057"
"46","01059"
"47","01060"
"48","01061"
"49","01062"
"50","01063"
"51","01066"
"52","01068"
"53","01069"
"54","01070"
"55","01071"
"56","01072"
"57","01073"
"58","01074"
"59","01075"
"60","01077"
"61","01079"
"62","01080"
"63","01081"
"64","01082"
"65","01083"
"66","01084"
"67","01085"
"68","01086"
"69","01088"
"70","01089"
"71","01090"
"72","01092"
"73","01093"
"74","01094"
"75","01095"
"76","01096"
"77","01097"
"78","01098"
"79","01101"
"80","01102"
"81","01103"
"82","01104"
"83","01105"
"84","01106"
"85","01107"
"86","01108"
"87","01109"
"88","01111"
"89","01114"
"90","01115"
"91","01116"
"92","01118"
"93","01119"
"94","01128"
"95","01129"
"96","01133"
"97","01138"
"98","01139"
"99","01144"
"100","01151"
"101","01152"
"102","01195"
"103","01199"
"104","01201"
"105","01202"
"106","01203"
"107","01220"
"108","01222"
"109","01223"
"110","01224"
"111","01225"
"112","01226"
"113","01227"
"114","01229"
"115","01230"
"116","01231"
"117","01235"
"118","01236"
"119","01237"
"120","01238"
"121","01240"
"122","01242"
"123","01243"
"124","01244"
"125","01245"
"126","01247"
"127","01252"
"128","01253"
"129","01254"
"130","01255"
"131","01256"
"132","01257"
"133","01258"
"134","01259"
"135","01260"
"136","01262"
"137","01263"
"138","01264"
"139","01266"
"140","01267"
"141","01270"
"142","01301"
"143","01302"
"144","01330"
"145","01331"
"146","01337"
"147","01338"
"148","01339"
"149","01340"
"150","01341"
"151","01342"
"152","01343"
"153","01344"
"154","01346"
"155","01347"
"156","01349"
"157","01350"
"158","01351"
"159","01354"
"160","01355"
"161","01360"
"162","01364"
"163","01366"
"164","01367"
"165","01368"
"166","01369"
"167","01370"
"168","01373"
"169","01374"
"170","01375"
"171","01376"
"172","01378"
"173","01379"
"174","01380"
"175","01393"
"176","01420"
"177","01427"
"178","01430"
"179","01431"
"180","01432"
"181","01434"
"182","01436"
"183","01438"
"184","01440"
"185","01441"
"186","01450"
"187","01451"
"188","01452"
"189","01453"
"190","01460"
"191","01462"
"192","01463"
"193","01464"
"194","01467"
"195","01468"
"196","01469"
"197","01470"
"198","01471"
"199","01472"
"200","01473"
"201","01474"
"202","01475"
"203","01477"
"204","01501"
"205","01503"
"206","01504"
"207","01505"
"208","01506"
"209","01507"
"210","01508"
"211","01509"
"212","01510"
"213","01515"
"214","01516"
"215","01517"
"216","01518"
"217","01519"
"218","01520"
"219","01521"
"220","01522"
"221","01523"
"222","01524"
"223","01525"
"224","01526"
"225","01527"
"226","01529"
"227","01531"
"228","01532"
"229","01534"
"230","01535"
"231","01536"
"232","01537"
"233","01538"
"234","01540"
"235","01541"
"236","01542"
"237","01543"
"238","01545"
"239","01546"
"240","01550"
"241","01560"
"242","01561"
"243","01562"
"244","01564"
"245","01566"
"246","01568"
"247","01569"
"248","01570"
"249","01571"
"250","01580"
"251","01581"
"252","01582"
"253","01583"
"254","01585"
"255","01586"
"256","01588"
"257","01590"
"258","01601"
"259","01602"
"260","01603"
"261","01604"
"262","01605"
"263","01606"
"264","01607"
"265","01608"
"266","01609"
"267","01610"
"268","01611"
"269","01612"
"270","01613"
"271","01614"
"272","01615"
"273","01634"
"274","01653"
"275","01654"
"276","01655"
"277","01701"
"278","01702"
"279","01703"
"280","01704"
"281","01705"
"282","01718"
"283","01719"
"284","01720"
"285","01721"
"286","01730"
"287","01731"
"288","01740"
"289","01741"
"290","01742"
"291","01745"
"292","01746"
"293","01747"
