"","zip","city","state","latitude","longitude","median","mean","population"
"1","00210","Portsmouth","NH",43.005895,-71.013202,NA,NA,NA
"2","00211","Portsmouth","NH",43.005895,-71.013202,NA,NA,NA
"3","00212","Portsmouth","NH",43.005895,-71.013202,NA,NA,NA
"4","00213","Portsmouth","NH",43.005895,-71.013202,NA,NA,NA
"5","00214","Portsmouth","NH",43.005895,-71.013202,NA,NA,NA
"6","00215","Portsmouth","NH",43.005895,-71.013202,NA,NA,NA
"7","00501","Holtsville","NY",40.922326,-72.637078,NA,NA,NA
"8","00544","Holtsville","NY",40.922326,-72.637078,NA,NA,NA
"9","01001","Agawam","MA",42.07061,-72.62029,56663,66688,16445
"10","01002","Amherst","MA",42.377651,-72.50323,49853,75063,28069
"11","01003","Amherst","MA",42.369562,-72.63599,28462,35121,8491
"12","01004","Amherst","MA",42.384494,-72.513183,NA,NA,NA
"13","01005","Barre","MA",42.412094,-72.10443,75423,82442,4798
"14","01007","Belchertown","MA",42.278424,-72.411,79076,85802,12962
"15","01008","Blandford","MA",42.174313,-72.94828,63980,78391,1244
"16","01009","Bondsville","MA",42.206092,-72.340486,51452,66737,889
"17","01010","Brimfield","MA",42.126038,-72.20552,75625,80919,3340
"18","01011","Chester","MA",42.271442,-73.01958,63476,77443,1323
"19","01012","Chesterfield","MA",42.390836,-72.84356,58750,74722,677
"20","01013","Chicopee","MA",42.161492,-72.60316,36578,46179,22907
"21","01014","Chicopee","MA",42.170731,-72.604842,NA,NA,NA
"22","01020","Chicopee","MA",42.175992,-72.57265,50058,58516,29626
"23","01021","Chicopee","MA",42.170731,-72.604842,NA,NA,NA
"24","01022","Chicopee","MA",42.196666,-72.55606,50440,60797,2124
"25","01026","Cummington","MA",42.465041,-72.91813,60320,71505,1052
"26","01027","Easthampton","MA",42.27279,-72.68677,58573,66613,17452
"27","01028","East Longmeadow","MA",42.066795,-72.5102,80252,94891,14143
"28","01029","East Otis","MA",42.175896,-73.04204,62955,97075,663
"29","01030","Feeding Hills","MA",42.070774,-72.67248,71106,81727,11702
"30","01031","Gilbertville","MA",42.33071,-72.18833,61250,76417,1192
"31","01032","Goshen","MA",42.45792,-72.81551,67692,79796,498
"32","01033","Granby","MA",42.254563,-72.51831,NA,NA,NA
"33","01034","Granville","MA",42.086224,-72.94464,63980,78391,1910
"34","01035","Hadley","MA",42.35549,-72.5733,69911,73973,4801
"35","01036","Hampden","MA",42.064703,-72.41735,78869,95493,5089
"36","01037","Hardwick","MA",42.374202,-72.19524,61250,76417,627
"37","01038","Hatfield","MA",42.375155,-72.60832,53939,72430,2557
"38","01039","Haydenville","MA",42.381475,-72.69259,66284,78497,1291
"39","01040","Holyoke","MA",42.201891,-72.6242,35549,43615,39827
"40","01041","Holyoke","MA",42.170731,-72.604842,NA,NA,NA
"41","01050","Huntington","MA",42.290209,-72.87942,62097,70566,2380
"42","01053","Leeds","MA",42.353105,-72.70206,60477,77611,1720
"43","01054","Leverett","MA",42.479839,-72.49879,67831,86678,1656
"44","01056","Ludlow","MA",42.174893,-72.47068,63318,72027,21205
"45","01057","Monson","MA",42.089269,-72.317,73254,78485,8474
"46","01059","North Amherst","MA",42.369562,-72.63599,NA,NA,NA
"47","01060","Northampton","MA",42.324539,-72.63561,48069,67478,15578
"48","01061","Northampton","MA",42.369562,-72.63599,NA,NA,NA
"49","01062","Florence","MA",42.324232,-72.67915,60686,82398,11283
"50","01063","Northampton","MA",42.317939,-72.640234,40694,32047,393
"51","01066","North Hatfield","MA",42.406697,-72.633901,53939,72430,71
"52","01068","Oakham","MA",42.349769,-72.04413,77396,81314,1651
"53","01069","Palmer","MA",42.176401,-72.32646,50345,65297,8789
"54","01070","Plainfield","MA",42.515853,-72.91661,60320,71505,573
"55","01071","Russell","MA",42.165931,-72.85153,63980,78391,1518
"56","01072","Shutesbury","MA",42.486027,-72.42208,67831,86678,1503
"57","01073","Southampton","MA",42.223885,-72.72777,80738,94452,5366
"58","01074","South Barre","MA",42.375998,-72.149388,75423,82442,315
"59","01075","South Hadley","MA",42.234891,-72.58243,63053,76027,17179
"60","01077","Southwick","MA",42.05283,-72.76966,73645,81585,8842
"61","01079","Thorndike","MA",42.192892,-72.329574,51452,66737,625
"62","01080","Three Rivers","MA",42.180563,-72.36518,50100,59535,2208
"63","01081","Wales","MA",42.058024,-72.22517,65917,76367,1581
"64","01082","Ware","MA",42.270611,-72.26067,51936,60093,10125
"65","01083","Warren","MA",42.20468,-72.20259,55030,70156,2887
"66","01084","West Chesterfield","MA",42.379807,-72.89043,58750,74722,158
"67","01085","Westfield","MA",42.133642,-72.75029,57598,68897,40392
"68","01086","Westfield","MA",42.173428,-72.847964,93611,83650,323
"69","01088","West Hatfield","MA",42.388831,-72.6321,53939,72430,622
"70","01089","West Springfield","MA",42.112793,-72.64066,53711,64226,27894
"71","01090","West Springfield","MA",42.170731,-72.604842,NA,NA,NA
"72","01092","West Warren","MA",42.210777,-72.23904,55030,70156,1215
"73","01093","Whately","MA",42.442673,-72.652511,59722,72440,340
"74","01094","Wheelwright","MA",42.358201,-72.140846,61250,76417,340
"75","01095","Wilbraham","MA",42.12531,-72.44057,89486,101878,13572
"76","01096","Williamsburg","MA",42.415236,-72.78271,66148,78920,2143
"77","01097","Woronoco","MA",42.161743,-72.845912,63980,78391,113
"78","01098","Worthington","MA",42.399054,-72.93871,60320,71505,1212
"79","01101","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"80","01102","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"81","01103","Springfield","MA",42.103294,-72.59112,16963,25747,2731
"82","01104","Springfield","MA",42.130343,-72.57338,35380,43969,22078
"83","01105","Springfield","MA",42.096644,-72.5798,17756,27144,12816
"84","01106","Longmeadow","MA",42.050395,-72.5712,91889,134662,15880
"85","01107","Springfield","MA",42.120193,-72.6061,23557,33974,11615
"86","01108","Springfield","MA",42.084094,-72.55523,37411,48866,26060
"87","01109","Springfield","MA",42.116277,-72.55031,34638,44049,30683
"88","01111","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"89","01114","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"90","01115","Springfield","MA",42.102894,-72.591633,NA,NA,NA
"91","01116","Longmeadow","MA",42.170731,-72.604842,NA,NA,NA
"92","01118","Springfield","MA",42.093144,-72.5291,55853,62546,14283
"93","01119","Springfield","MA",42.128442,-72.50932,45184,52187,13170
"94","01128","Springfield","MA",42.095344,-72.48857,63177,66605,3040
"95","01129","Springfield","MA",42.121031,-72.4896,58704,66403,6982
"96","01133","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"97","01138","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"98","01139","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"99","01144","Springfield","MA",42.101796,-72.59151,NA,NA,NA
"100","01151","Indian Orchard","MA",42.153926,-72.50531,34175,50951,8302
"101","01152","Springfield","MA",42.170731,-72.604842,NA,NA,NA
"102","01195","Springfield","MA",42.1,-72.58,NA,NA,NA
"103","01199","Springfield","MA",42.119943,-72.604983,48306,58759,14
"104","01201","Pittsfield","MA",42.45384,-73.254,46765,57694,43838
"105","01202","Pittsfield","MA",42.3929,-73.228483,NA,NA,NA
"106","01203","Pittsfield","MA",42.3929,-73.228483,NA,NA,NA
"107","01220","Adams","MA",42.619727,-73.11842,38379,50308,8947
"108","01222","Ashley Falls","MA",42.057496,-73.32177,47145,68665,821
"109","01223","Becket","MA",42.314449,-73.09335,48478,71204,2287
"110","01224","Berkshire","MA",42.3929,-73.228483,66458,82491,197
"111","01225","Cheshire","MA",42.551731,-73.1653,57419,75267,3264
"112","01226","Dalton","MA",42.476575,-73.11547,57505,70710,7099
"113","01227","Dalton","MA",42.516145,-73.092852,NA,NA,NA
"114","01229","Glendale","MA",42.279292,-73.343545,55096,70740,129
"115","01230","Great Barrington","MA",42.189715,-73.35249,53584,73996,8654
"116","01231","Sheffield","MA",42.153001,-73.298131,NA,NA,NA
"117","01235","Hinsdale","MA",42.433661,-73.09278,63877,73062,2597
"118","01236","Housatonic","MA",42.266874,-73.36236,55718,74247,1656
"119","01237","Lanesboro","MA",42.557346,-73.24364,69659,87759,2426
"120","01238","Lee","MA",42.299263,-73.2327,51053,64187,6110
"121","01240","Lenox","MA",42.36237,-73.27683,60458,74117,4787
"122","01242","Lenox Dale","MA",42.336557,-73.24599,60604,74264,254
"123","01243","Middlefield","MA",42.356088,-73.010448,60320,71505,360
"124","01244","Mill River","MA",42.139104,-73.20312,57917,73592,136
"125","01245","Monterey","MA",42.180659,-73.20849,63152,90383,989
"126","01247","North Adams","MA",42.696064,-73.10145,38405,48295,16957
"127","01252","North Egremont","MA",42.198648,-73.446234,NA,NA,NA
"128","01253","Otis","MA",42.198403,-73.10205,62955,97075,607
"129","01254","Richmond","MA",42.374711,-73.36336,79145,103371,1070
"130","01255","Sandisfield","MA",42.088973,-73.12444,62955,97075,824
"131","01256","Savoy","MA",42.592506,-73.01123,54167,59862,701
"132","01257","Sheffield","MA",42.102694,-73.36591,47145,68665,2223
"133","01258","South Egremont","MA",42.103122,-73.45734,55764,80635,401
"134","01259","Southfield","MA",42.0645,-73.24674,57917,73592,640
"135","01260","South Lee","MA",42.286586,-73.313274,53297,67749,225
"136","01262","Stockbridge","MA",42.283216,-73.31423,55096,70740,1357
"137","01263","Stockbridge","MA",42.3929,-73.228483,NA,NA,NA
"138","01264","Tyringham","MA",42.224905,-73.20394,63250,89918,160
"139","01266","West Stockbridge","MA",42.328535,-73.36407,64328,79025,1681
"140","01267","Williamstown","MA",42.689962,-73.22355,69925,104709,8683
"141","01270","Windsor","MA",42.443726,-73.116127,70662,76919,761
"142","01301","Greenfield","MA",42.605524,-72.60098,47833,54338,18444
"143","01302","Greenfield","MA",42.522178,-72.624164,NA,NA,NA
"144","01330","Ashfield","MA",42.521131,-72.81116,70326,81554,1512
"145","01331","Athol","MA",42.579931,-72.20836,49110,59949,12856
"146","01337","Bernardston","MA",42.678023,-72.55569,57550,68074,2649
"147","01338","Buckland","MA",42.569498,-72.802,56596,67203,184
"148","01339","Charlemont","MA",42.626858,-72.87939,6531,7755,181
"149","01340","Colrain","MA",42.673371,-72.73104,NA,NA,NA
"150","01341","Conway","MA",42.508313,-72.70403,70326,81554,1743
"151","01342","Deerfield","MA",42.542322,-72.6091,61912,77805,1140
"152","01343","Drury","MA",42.642666,-72.986231,54167,59862,73
"153","01344","Erving","MA",42.607051,-72.41396,54836,62158,1216
"154","01346","Heath","MA",42.669255,-72.80494,NA,NA,NA
"155","01347","Lake Pleasant","MA",42.556558,-72.518104,50189,64302,214
"156","01349","Turners Falls","MA",42.5737,-72.50525,51401,63743,1116
"157","01350","Monroe Bridge","MA",42.712257,-72.97629,NA,NA,NA
"158","01351","Montague","MA",42.534976,-72.52522,50189,64302,2301
"159","01354","Northfield","MA",42.522178,-72.624164,57550,68074,1367
"160","01355","New Salem","MA",42.485899,-72.33345,67831,86678,820
"161","01360","Northfield","MA",42.682285,-72.45649,70606,75984,2952
"162","01364","Orange","MA",42.599614,-72.29263,44676,51820,7633
"163","01366","Petersham","MA",42.474718,-72.21226,68374,75325,1186
"164","01367","Rowe","MA",42.694883,-72.90962,NA,NA,NA
"165","01368","Royalston","MA",42.671012,-72.16999,61950,70261,1256
"166","01369","Shattuckville","MA",42.522178,-72.624164,NA,NA,NA
"167","01370","Shelburne Falls","MA",42.603447,-72.72754,53003,62787,4020
"168","01373","South Deerfield","MA",42.472734,-72.62452,61438,76643,4618
"169","01374","Charlemont","MA",42.636459,-72.798742,NA,NA,NA
"170","01375","Sunderland","MA",42.449978,-72.56302,59722,72440,3769
"171","01376","Turners Falls","MA",42.609425,-72.54438,36099,49132,5149
"172","01378","Warwick","MA",42.667152,-72.32729,54836,62158,742
"173","01379","Wendell","MA",42.547274,-72.41724,54836,62158,949
"174","01380","Wendell Depot","MA",42.594455,-72.36314,NA,NA,NA
"175","01393","Whately","MA",42.459814,-72.593626,NA,NA,NA
"176","01420","Fitchburg","MA",42.578689,-71.80338,48606,60461,39333
"177","01427","Westborough","MA",42.286575,-71.585753,NA,NA,NA
"178","01430","Ashburnham","MA",42.658768,-71.93287,79875,81308,5551
"179","01431","Ashby","MA",42.672005,-71.8137,80143,92672,2833
"180","01432","Ayer","MA",42.549821,-71.59136,55863,70682,7008
"181","01434","Devens","MA",42.53,-71.61,119016,144183,1017
"182","01436","Baldwinville","MA",42.608903,-72.08021,66138,70269,3097
"183","01438","East Templeton","MA",42.563367,-72.03498,66138,70269,413
"184","01440","Gardner","MA",42.575355,-71.99183,51232,61725,20904
"185","01441","Gardner","MA",42.364807,-71.896868,NA,NA,NA
"186","01450","Groton","MA",42.609887,-71.55722,123278,142339,9547
"187","01451","Harvard","MA",42.505928,-71.5888,141274,170088,4922
"188","01452","Hubbardston","MA",42.477515,-71.99654,82443,89101,3901
"189","01453","Leominster","MA",42.526523,-71.75358,57280,69264,41066
"190","01460","Littleton","MA",42.540052,-71.49085,103751,114888,8147
"191","01462","Lunenburg","MA",42.582839,-71.72051,84911,92795,9475
"192","01463","Pepperell","MA",42.665686,-71.5929,85403,96368,11120
"193","01464","Shirley","MA",42.559289,-71.64555,72598,76269,6374
"194","01467","Still River","MA",42.488666,-71.62412,141274,170088,328
"195","01468","Templeton","MA",42.557796,-72.06824,66138,70269,3134
"196","01469","Townsend","MA",42.658738,-71.69204,78502,85145,6892
"197","01470","Groton","MA",42.446396,-71.459405,NA,NA,NA
"198","01471","Groton","MA",42.446396,-71.459405,NA,NA,NA
"199","01472","West Groton","MA",42.446396,-71.459405,NA,NA,NA
"200","01473","Westminster","MA",42.544622,-71.9021,79073,86554,6906
"201","01474","West Townsend","MA",42.669408,-71.74578,78207,84939,2302
"202","01475","Winchendon","MA",42.675441,-72.0467,56274,66418,9597
"203","01477","Winchendon Springs","MA",42.364807,-71.896868,NA,NA,NA
"204","01501","Auburn","MA",42.20361,-71.83843,70683,81298,15923
"205","01503","Berlin","MA",42.380562,-71.62665,92917,109928,2517
"206","01504","Blackstone","MA",42.028147,-71.52999,74067,80879,8824
"207","01505","Boylston","MA",42.338392,-71.73026,88214,128553,4083
"208","01506","Brookfield","MA",42.200374,-72.09787,60189,69508,3056
"209","01507","Charlton","MA",42.135142,-71.96961,86561,92648,11274
"210","01508","Charlton City","MA",42.109748,-72.079455,NA,NA,NA
"211","01509","Charlton Depot","MA",42.364807,-71.896868,NA,NA,NA
"212","01510","Clinton","MA",42.418836,-71.68482,57957,69165,13261
"213","01515","East Brookfield","MA",42.212777,-72.05311,71964,82820,2095
"214","01516","Douglas","MA",42.061437,-71.72887,86214,92231,7089
"215","01517","East Princeton","MA",42.364807,-71.896868,NA,NA,NA
"216","01518","Fiskdale","MA",42.12515,-72.12393,72983,87918,2303
"217","01519","Grafton","MA",42.201674,-71.68771,105605,119127,6128
"218","01520","Holden","MA",42.338962,-71.84434,92166,103496,12543
"219","01521","Holland","MA",42.054676,-72.16137,65917,76367,2408
"220","01522","Jefferson","MA",42.369658,-71.87418,82165,97639,3083
"221","01523","Lancaster","MA",42.473131,-71.67946,80938,104486,7102
"222","01524","Leicester","MA",42.238942,-71.91908,74316,85319,6356
"223","01525","Linwood","MA",42.364807,-71.896868,89583,96920,88
"224","01526","Manchaug","MA",42.364807,-71.896868,NA,NA,NA
"225","01527","Millbury","MA",42.196144,-71.76272,68319,76894,12850
"226","01529","Millville","MA",42.036396,-71.57798,77250,89180,2715
"227","01531","New Braintree","MA",42.317121,-72.12248,61250,76417,942
"228","01532","Northborough","MA",42.321917,-71.64692,103271,125633,14028
"229","01534","Northbridge","MA",42.140741,-71.64376,76675,88046,4527
"230","01535","North Brookfield","MA",42.267274,-72.07823,57196,70880,4703
"231","01536","North Grafton","MA",42.231444,-71.70523,89347,101686,5977
"232","01537","North Oxford","MA",42.170846,-71.88989,68664,77943,2219
"233","01538","North Uxbridge","MA",42.364807,-71.896868,NA,NA,NA
"234","01540","Oxford","MA",42.117527,-71.8657,62079,72326,10958
"235","01541","Princeton","MA",42.451569,-71.882,102853,114762,3341
"236","01542","Rochdale","MA",42.194793,-71.90651,67172,77660,2025
"237","01543","Rutland","MA",42.380877,-71.96427,81295,88574,6332
"238","01545","Shrewsbury","MA",42.286643,-71.72502,88643,101693,31637
"239","01546","Shrewsbury","MA",42.364807,-71.896868,NA,NA,NA
"240","01550","Southbridge","MA",42.070827,-72.03533,48195,55176,17217
"241","01560","South Grafton","MA",42.177462,-71.69382,68854,94984,2754
"242","01561","South Lancaster","MA",42.443539,-71.686137,80938,104486,236
"243","01562","Spencer","MA",42.247212,-71.99227,65184,71988,11681
"244","01564","Sterling","MA",42.436875,-71.77333,102115,118110,7267
"245","01566","Sturbridge","MA",42.104581,-72.08584,72387,87792,5531
"246","01568","Upton","MA",42.17382,-71.60971,107950,121356,5650
"247","01569","Uxbridge","MA",42.064978,-71.62992,80536,86326,11080
"248","01570","Webster","MA",42.047728,-71.86108,50142,57820,16396
"249","01571","Dudley","MA",42.049864,-71.9173,64228,72674,10023
"250","01580","Westborough","MA",42.364807,-71.896868,NA,NA,NA
"251","01581","Westborough","MA",42.269845,-71.61408,101876,123550,17899
"252","01582","Westborough","MA",42.364807,-71.896868,NA,NA,NA
"253","01583","West Boylston","MA",42.359842,-71.787,79865,91095,6665
"254","01585","West Brookfield","MA",42.242965,-72.16734,60376,72571,4472
"255","01586","West Millbury","MA",42.364807,-71.896868,NA,NA,NA
"256","01588","Whitinsville","MA",42.114195,-71.67225,67286,80025,8644
"257","01590","Sutton","MA",42.131028,-71.75121,104730,116563,8247
"258","01601","Worcester","MA",42.265275,-71.879415,NA,NA,NA
"259","01602","Worcester","MA",42.272359,-71.84482,61861,78374,21596
"260","01603","Worcester","MA",42.240526,-71.83776,37454,46307,14613
"261","01604","Worcester","MA",42.255393,-71.77459,47438,59373,33032
"262","01605","Worcester","MA",42.286543,-71.78846,41023,54480,24799
"263","01606","Worcester","MA",42.311342,-71.79531,57646,70503,19516
"264","01607","Worcester","MA",42.229543,-71.79501,47987,59094,8415
"265","01608","Worcester","MA",42.261343,-71.80173,26526,39039,3634
"266","01609","Worcester","MA",42.271743,-71.81348,44501,62365,20425
"267","01610","Worcester","MA",42.248493,-71.80793,21388,28805,15545
"268","01611","Cherry Valley","MA",42.238449,-71.87139,63333,73699,2206
"269","01612","Paxton","MA",42.307591,-71.91929,100358,104489,4363
"270","01613","Worcester","MA",42.293316,-71.801971,NA,NA,NA
"271","01614","Worcester","MA",42.364807,-71.896868,NA,NA,NA
"272","01615","Worcester","MA",42.364807,-71.896868,NA,NA,NA
"273","01634","Tolland","MA",42.069484,-72.999433,NA,NA,NA
"274","01653","Worcester","MA",42.364807,-71.896868,NA,NA,NA
"275","01654","Worcester","MA",42.364807,-71.896868,NA,NA,NA
"276","01655","Worcester","MA",42.364807,-71.896868,NA,NA,NA
"277","01701","Framingham","MA",42.318695,-71.42344,92018,102936,31114
"278","01702","Framingham","MA",42.283995,-71.42161,53081,65995,35990
"279","01703","Framingham","MA",42.446396,-71.459405,NA,NA,NA
"280","01704","Framingham","MA",42.446396,-71.459405,NA,NA,NA
"281","01705","Framingham","MA",42.446396,-71.459405,NA,NA,NA
"282","01718","Village Of Nagog Woods","MA",42.519739,-71.42721,84559,121293,374
"283","01719","Boxborough","MA",42.486259,-71.51244,102222,119845,4870
"284","01720","Acton","MA",42.477142,-71.4422,110534,131678,19798
"285","01721","Ashland","MA",42.257956,-71.45886,91904,114036,14602
"286","01730","Bedford","MA",42.496679,-71.27504,107033,125494,12547
"287","01731","Hanscom AFB","MA",42.459085,-71.27556,77369,96728,2914
"288","01740","Bolton","MA",42.437086,-71.61266,125741,148232,4125
"289","01741","Carlisle","MA",42.5286,-71.35084,155000,189989,4798
"290","01742","Concord","MA",42.457201,-71.37478,119902,183178,17075
"291","01745","Fayville","MA",42.295544,-71.50468,114761,142894,331
"292","01746","Holliston","MA",42.196065,-71.43797,101901,122803,13866
"293","01747","Hopedale","MA",42.125536,-71.53662,97227,102044,5815
"294","01748","Hopkinton","MA",42.220447,-71.53418,121182,170522,13318
"295","01749","Hudson","MA",42.389813,-71.55791,76500,85689,18081
"296","01750","Natick","MA",42.273817,-71.378157,NA,NA,NA
"297","01752","Marlborough","MA",42.350909,-71.54753,71835,89002,36273
"298","01754","Maynard","MA",42.430781,-71.45594,76228,82167,10414
"299","01756","Mendon","MA",42.092006,-71.54474,102625,117692,5257
"300","01757","Milford","MA",42.149176,-71.52149,68565,82206,26877
"301","01760","Natick","MA",42.290763,-71.35368,90673,113933,31763
"302","01770","Sherborn","MA",42.231025,-71.37202,145250,190251,4245
"303","01772","Southborough","MA",42.297643,-71.53369,141459,169609,8435
"304","01773","Lincoln","MA",42.425537,-71.30316,143771,194811,5143
"305","01775","Stow","MA",42.423882,-71.51086,117440,129280,5902
"306","01776","Sudbury","MA",42.38532,-71.42989,152789,184218,16826
"307","01778","Wayland","MA",42.345583,-71.35643,140652,187265,13191
"308","01784","Woodville","MA",42.446396,-71.459405,NA,NA,NA
"309","01801","Woburn","MA",42.484545,-71.15206,71805,79381,37213
"310","01803","Burlington","MA",42.506362,-71.20008,90659,102991,22954
"311","01805","Burlington","MA",42.446396,-71.459405,NA,NA,NA
"312","01806","Woburn","MA",42.446396,-71.459405,NA,NA,NA
"313","01807","Woburn","MA",42.446396,-71.459405,NA,NA,NA
"314","01808","Woburn","MA",42.446396,-71.459405,NA,NA,NA
