INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
138817042,09/21/2014 12:00:00 AM,23:15:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,996949,176623,40.651465108,-73.954236416
156642467,09/12/2016 12:00:00 AM,17:30:00,QUEENS,105,0,,false,,,,25-44,M,BLACK,1051945,180331,40.661393089,-73.756003608
89216118,02/18/2013 12:00:00 AM,03:30:00,QUEENS,102,0,PVT HOUSE                     ,false,,,,45-64,M,ASIAN / PACIFIC ISLANDER,1022214,188265,40.683347505,-73.863120209
138898674,09/27/2014 12:00:00 AM,17:48:00,BROOKLYN,73,0,,false,,,,<18,M,BLACK,1007962,183992,40.67166874,-73.914521549
90370145,04/29/2013 12:00:00 AM,20:02:00,BROOKLYN,71,0,MULTI DWELL - APT BUILD       ,false,,,,18-24,M,BLACK,1003564,181625,40.665182541,-73.930382767
157022340,09/20/2016 12:00:00 AM,11:00:00,BRONX,45,0,,true,,,,45-64,M,WHITE,1032140,242004,40.830798914,-73.826948796
166728123,07/04/2017 12:00:00 AM,21:45:00,BRONX,47,0,,false,,,,25-44,F,BLACK,1025683,261870,40.885357708,-73.850158611
156246000,08/27/2016 12:00:00 AM,00:18:00,MANHATTAN,13,0,MULTI DWELL - APT BUILD       ,false,45-64,M,BLACK HISPANIC,45-64,F,ASIAN / PACIFIC ISLANDER,986464,208227,40.738219595,-73.992012181
142960968,05/16/2015 12:00:00 AM,21:30:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS     ,false,,,,18-24,M,BLACK,1025580,236918,40.816872438,-73.850684927
95301720,03/10/2014 12:00:00 AM,22:29:00,MANHATTAN,7,2,MULTI DWELL - PUBLIC HOUS     ,false,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,990479,201058,40.718540519,-73.977530603
143187174,05/25/2015 12:00:00 AM,20:58:00,BROOKLYN,75,0,,true,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1017757,182623,40.667879491,-73.879218188
147808721,11/15/2015 12:00:00 AM,20:31:00,BROOKLYN,70,0,,false,,,,18-24,M,BLACK,995322,174388,40.645332699,-73.960103512
164781319,05/14/2017 12:00:00 AM,06:33:00,QUEENS,105,0,,false,25-44,M,AMERICAN INDIAN/ALASKAN NATIVE,25-44,M,BLACK,1056108,179624,40.659419732,-73.741006235
168306063,08/19/2017 12:00:00 AM,21:44:00,MANHATTAN,25,0,,false,,,,25-44,M,WHITE HISPANIC,1000344,230603,40.79962153,-73.941872335
90258291,04/15/2013 12:00:00 AM,14:20:00,BROOKLYN,71,0,GROCERY/BODEGA                ,false,,,,65+,M,BLACK,995580,183019,40.669022577,-73.959159311
138373703,08/21/2014 12:00:00 AM,18:59:00,MANHATTAN,6,0,,true,,,,45-64,M,ASIAN / PACIFIC ISLANDER,982752,206772,40.734226128,-74.005406689
89155390,02/14/2013 12:00:00 AM,16:39:00,BROOKLYN,70,0,,false,,,,18-24,M,ASIAN / PACIFIC ISLANDER,997535,171875,40.638432011,-73.952133921
91906722,07/31/2013 12:00:00 AM,22:35:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS     ,false,,,,18-24,M,BLACK,982151,185171,40.674936335,-74.007568544
138192289,08/12/2014 12:00:00 AM,12:56:00,BRONX,47,0,,false,,,,18-24,M,BLACK,1026486,262591,40.887332818,-73.847250013
137067717,06/03/2014 12:00:00 AM,18:52:00,MANHATTAN,26,0,,false,,,,18-24,M,BLACK HISPANIC,997225,235366,40.812699783,-73.953128489
150671639,02/25/2016 12:00:00 AM,02:50:00,QUEENS,102,0,PVT HOUSE                     ,false,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,WHITE HISPANIC,1028770,189638,40.687085525,-73.839473177
